Genomic bins	SERC_517_10	SERC_517_11	SERC_517_12	SERC_517_13	SERC_517_8	SERC_517_9	SERC_517_6	SERC_517_7	SERC_517_4	SERC_517_5	SERC_517_3	SERC_Zymo_Pos_Control
bin.120	0.436428360934	1.59337567074	0.182876652838	0.257434438701	0.532077062338	0.819609909108	2.98926795526	0.425085724497	3.01064789103	3.2624980838	1.89898591364	0.0166259385085
bin.136	1.4059883887	0.0593214162363	1.23950768245	0.855673974728	0.829783567669	2.16824369977	0.113363445905	0.924665292225	6.61766123762	0.102106607721	0.835177187691	0.00729119368108
bin.188	0.690214223769	0.292361811471	1.36683568791	1.92514050472	0.850559354609	2.02602703928	0.0892420298681	0.168309589203	0.688783846553	0.0363060947303	0.41903984827	0.00698415564268
bin.211	2.52281017257	0.17888087937	2.88556644208	0.449772419017	0.431641718642	1.71285994926	0.620863231548	1.32463865186	0.748465260217	0.0688474635123	0.51775754783	0.030851876369
bin.231	0.420671203976	0.341465997191	0.337655381525	0.423214975059	1.34997317023	0.864990119505	0.366351338451	0.740536413293	2.722797949	0.407260718212	1.98793993871	0.00722583763536
bin.15	3.45721325168	1.19132536427	4.6964712647	3.70959273554	3.182964007	4.98663656098	1.4379057272	3.22776520352	3.81435470769	0.671078214713	3.20186563541	0.188821923863
bin.246	0.44244387253	0.109733690028	0.614189684869	0.44430227664	0.641207017776	0.881276195156	0.113439456097	0.468783661526	1.06675241759	0.120723574246	1.00485189074	0.00204875797937
bin.147	8.17345457288	0.550031538292	2.39393011267	2.08351610911	0.816516973419	3.41043501157	5.37192924191	3.32240503872	7.18369414965	2.28692785271	3.91921041767	0.0197887093759
bin.140	1.17315332307	0.343693735891	0.992237387324	1.21060822903	0.777611897442	0.968609755536	0.439848607345	1.04482752969	0.939526991542	0.266404963878	1.25736848472	0.00590848080294
bin.295	1.06935439859	0.316127571726	1.92826217726	2.8585643412	2.04936728488	2.0473274858	0.146424947035	1.39781072694	1.64355429168	0.0940834525618	2.04206466692	0.00215153447412
bin.17	5.19495514826	0.366554745429	3.96540751832	4.93499379491	6.22064343079	11.3032547535	0.769821464056	4.3877772714	15.8545658833	0.679468197188	4.56049571162	0.0358125333229
bin.49	0.757637892013	0.684983976638	1.25699362865	1.40014023659	1.11186686315	1.08378195401	0.516156874063	1.18313748869	0.244808604705	0.125769915656	0.416686804093	0.104325421024
bin.254	0.782856274153	0.811057111504	0.929566675671	1.24347950807	0.625886101078	0.490316961525	0.80660379448	0.93402174893	1.90327847947	0.39136222085	2.77348025227	0.00483679282274
bin.244	0.638484279313	0.624386851288	0.843511275144	1.12006817313	0.47193386941	0.400055120167	0.614120039762	0.663285563149	1.77939282757	0.296328211322	2.55606913723	0.0152308679111
bin.320	0.925578019089	0.81820348585	1.34709222525	1.5823497522	1.22970121349	1.23146367653	0.692013965557	1.19118629084	0.362224372885	0.200733254732	0.534452456707	0.0368292426079
bin.196	0.245840312874	0.708604516065	0.151840616595	0.114145921171	0.273191288767	0.278215832023	1.02381295181	0.595387803152	5.86889774612	5.6384967136	9.54927443571	0.0129271054145
bin.304	0.35794869663	0.285593785083	0.807272386924	0.487675483857	0.793633054686	0.814633399318	0.21755308373	0.57054653671	0.915134320403	0.228593032441	2.18273437887	0.00633710695228
bin.51	0.912393400717	1.33278617736	1.12724720034	1.81380928157	1.46698244848	1.26652748824	1.07020687337	1.18318154216	0.17908063661	0.0345117179676	0.147498748668	0.00895442358128
bin.118	1.12177381819	0.0240050557415	4.11402433843	0.127533523443	0.130213162901	0.784381429486	0.117506734706	2.38253725195	1.33468019963	0.023281104446	0.205625953555	0.00486446423043
bin.109	74.5829597153	53.1747325527	73.3721907872	93.5561097376	86.1102209295	82.9407230391	57.9817114763	92.5445604112	16.8266765758	10.6575875998	26.6793074703	0.404132675427
bin.77	0.58585066838	0.663441829669	0.665491523072	1.1552795582	0.838982466593	0.546262755235	0.598060752759	0.802534023931	1.84445661012	0.677522266822	1.01869642089	0.0286567548689
bin.139	0.853256106158	0.649090804083	0.748552027893	0.885652010892	0.868296962727	1.03390916434	0.820722327546	0.978545145996	0.500163017084	0.384747798622	0.882589755323	0.0915788631479
bin.103	0.416198771841	0.163328527956	1.4412535283	1.68753401116	0.721628422565	1.48701180057	0.328328877403	0.475237801458	1.06768567678	0.0762489583839	0.819936861595	0.00862006425863
bin.104	0.904312330057	0.463595288302	1.21480047009	0.913099667652	0.797736937728	1.24963196646	0.70424879348	0.999193371078	0.606022926402	0.191151083702	0.880677807675	0.00601957898006
bin.152	0.449559134383	0.203633925799	1.23148387311	0.715777857012	0.517055072457	0.719717432566	0.131481577309	0.375234108016	0.792405638763	0.147454605907	0.870808051528	0.00545236736365
bin.106	2.65681513975	1.45616982838	4.63411458882	3.50992784256	4.46760656359	5.80100772828	0.942970888772	3.41024596534	4.19699683642	1.17286181129	9.79168785308	0.0122475308622
bin.265	3.93938500408	2.4654479441	3.54668569194	4.95019407813	4.33432795699	4.55765422644	2.77160305852	4.54372502214	1.9640320158	0.639425963852	2.13776863806	0.023059421009
bin.79	0.106775992191	0.0776596016779	0.681972910927	1.7713531864	2.36864940828	1.78235893254	0.0273544723242	0.131380607113	0.0918855440697	0.0211919937482	0.0750825357853	0.00655086696124
bin.315	0.403394771722	0.230028057741	0.758173124438	0.525513708608	0.469488003872	0.553443559547	0.270920710465	0.414187143602	0.696610836181	0.188663211732	1.08124896305	0.00330613603486
bin.18	3.78061028492	9.14837367516	3.26767992027	8.49573945374	6.83726558428	6.59130154579	8.90203801844	6.8816717226	0.267157571683	1.07594895498	0.390231101369	0.321359434486
bin.164	2.64865846395	1.53421194205	3.03029612943	2.40368726667	4.26055624203	4.4911097979	1.43142286212	3.41730501714	5.32105655816	1.96134061609	11.4964189811	0.0874760989043
bin.204	0.759129374891	0.497072426969	1.09742947199	1.23836083119	0.945434376718	1.32488454163	0.776616203732	1.03617264092	0.635657501548	0.187931637261	0.711543616574	0.00590969089252
bin.192	0.366571285071	0.0545846373667	0.929799322051	0.895497428965	0.685016406001	1.15077642997	0.0396366721518	0.252601085292	0.891730586618	0.0416067449175	0.751976893584	0.00305605752299
bin.293	0.631548792391	13.623231211	0.21285772301	1.11506655621	5.68253742267	0.710468800908	8.59861307034	1.67416029776	2.33421227838	18.1446355232	0.889801514959	0.01843817852
