bin.292.fa	Bacteria_98;Proteobacteria_90;Gammaproteobacteria_72
bin.313.fa	
bin.320.fa	
bin.78.fa	Bacteria_98;Proteobacteria_92;Oligoflexia_94;Bacteriovoracales_100;Bacteriovoracaceae_99;Bacteriovorax_74;Bacteriovorax stolpii_100
bin.317.fa	Bacteria_98
bin.233.fa	Bacteria_97;Proteobacteria_90
bin.164.fa	Bacteria_98;Actinobacteria_72;Actinobacteria_91
bin.167.fa	Bacteria_95
bin.255.fa	Bacteria_98
bin.163.fa	Bacteria_98;Bacteroidetes_66;Flavobacteriia_84;Flavobacteriales_100;Flavobacteriaceae_100
bin.27.fa	Bacteria_88
bin.169.fa	Bacteria_99;Actinobacteria_93;Actinobacteria_85;Candidatus Nanopelagicales_99;Candidatus Planktophila_90;Candidatus Planktophila limnetica_87
bin.288.fa	Bacteria_98;Actinobacteria_85;Actinobacteria_100;Micrococcales_80;Microbacteriaceae_82
bin.64.fa	Bacteria_100;Proteobacteria_96;Betaproteobacteria_97;Burkholderiales_98;Comamonadaceae_94;Acidovorax_67
bin.133.fa	Bacteria_98;Proteobacteria_95;Gammaproteobacteria_97;Alteromonadales_86;Pseudoalteromonadaceae_89;Pseudoalteromonas_96;Pseudoalteromonas tunicata_98
bin.232.fa	Bacteria_99;Proteobacteria_93;Gammaproteobacteria_91
bin.277.fa	Bacteria_96;Bacteroidetes_55
bin.132.fa	Bacteria_95;Bacteroidetes_74;Flavobacteriia_77;Flavobacteriales_100;Flavobacteriaceae_96
bin.46.fa	Viruses_91;Caudovirales_71;Myoviridae_84
bin.146.fa	Bacteria_96;Actinobacteria_69;Actinobacteria_98;Micrococcales_62;Microbacteriaceae_70
bin.267.fa	Bacteria_100;Proteobacteria_98;Gammaproteobacteria_97;Pseudomonadales_99;Pseudomonadaceae_100;Pseudomonas_98
bin.242.fa	Bacteria_99;Proteobacteria_97;Alphaproteobacteria_94;Rhodobacterales_89;Rhodobacteraceae_99
bin.197.fa	Bacteria_97;Bacteroidetes_78;Flavobacteriia_78;Flavobacteriales_100;Flavobacteriaceae_86
bin.73.fa	Bacteria_97
bin.302.fa	Bacteria_100;Proteobacteria_99;Alphaproteobacteria_98;Rhodobacterales_99;Rhodobacteraceae_100;Loktanella_90;Loktanella vestfoldensis_100
bin.2.fa	Bacteria_99;Proteobacteria_98;Gammaproteobacteria_100;Enterobacterales_98;Enterobacteriaceae_99;Escherichia_58;Escherichia coli_98
bin.248.fa	Bacteria_98;Proteobacteria_90;Alphaproteobacteria_87;Rhodobacterales_76;Rhodobacteraceae_91
bin.172.fa	Viruses_86;Caudovirales_63;Myoviridae_89
bin.304.fa	Bacteria_97
bin.309.fa	Bacteria_96
bin.61.fa	Viruses_55;Phycodnaviridae_94;Chrysochromulina ericina virus_75
bin.103.fa	Bacteria_53;Bacteroidetes_69;Sphingobacteriia_53;Sphingobacteriales_100;Sphingobacteriaceae_100
bin.215.fa	Bacteria_90;Proteobacteria_58;Gammaproteobacteria_59
bin.4.fa	Bacteria_100;Firmicutes_61;Bacilli_100;Bacillales_81;Bacillaceae_100;Bacillus_100;Bacillus subtilis_54
bin.256.fa	Bacteria_98;Proteobacteria_89;Gammaproteobacteria_89
bin.120.fa	Bacteria_99;Proteobacteria_99;Gammaproteobacteria_98;Pseudomonadales_98;Pseudomonadaceae_100;Pseudomonas_97
bin.108.fa	Bacteria_97;Bacteroidetes_89;Flavobacteriia_94;Flavobacteriales_99;Flavobacteriaceae_99
bin.220.fa	Bacteria_96;Actinobacteria_55;Actinobacteria_99
bin.216.fa	Bacteria_95;Bacteroidetes_81;Flavobacteriia_60;Flavobacteriales_100;Flavobacteriaceae_100
bin.70.fa	Bacteria_64
bin.158.fa	Bacteria_99;Actinobacteria_81;Actinobacteria_99
bin.274.fa	Bacteria_99;Proteobacteria_93;Betaproteobacteria_88;Burkholderiales_97;Comamonadaceae_93;Hydrogenophaga_53;Hydrogenophaga crassostreae_67
bin.236.fa	Viruses_72;Caudovirales_66;Myoviridae_81
bin.196.fa	Bacteria_100;Proteobacteria_99;Gammaproteobacteria_99;Pseudomonadales_99;Pseudomonadaceae_100;Pseudomonas_98
bin.253.fa	Bacteria_95;Bacteroidetes_64
bin.192.fa	Bacteria_97
bin.182.fa	Bacteria_94;Bacteroidetes_53;Flavobacteriia_85;Flavobacteriales_100;Flavobacteriaceae_100
bin.296.fa	Bacteria_97;Proteobacteria_85;Gammaproteobacteria_71
bin.186.fa	Bacteria_100;Proteobacteria_99;Gammaproteobacteria_93;Pseudomonadales_98;Pseudomonadaceae_100;Pseudomonas_94
bin.137.fa	Bacteria_99;Proteobacteria_97;Gammaproteobacteria_94;Aeromonadales_79;Aeromonadaceae_100;Aeromonas_84
bin.299.fa	Bacteria_99;Proteobacteria_93;Gammaproteobacteria_87
bin.141.fa	Viruses_55;Caudovirales_58;Myoviridae_89
bin.45.fa	
bin.235.fa	Bacteria_89;Proteobacteria_52;Oligoflexia_66;Bacteriovoracales_99;Halobacteriovoraceae_75
bin.204.fa	Bacteria_54;Proteobacteria_66;Gammaproteobacteria_80
